10000	0.004
12000	0.003
14000	0.003
16000	0.006
18000	0.007
20000	0.006
22000	0.007
24000	0.005
26000	0.006
28000	0.007
30000	0.007
32000	0.009
34000	0.011
36000	0.013
38000	0.01
40000	0.011
42000	0.012
44000	0.012
46000	0.014
48000	0.013
50000	0.013
52000	0.014
54000	0.015
56000	0.014
58000	0.017
60000	0.015
62000	0.016
64000	0.019
66000	0.022
68000	0.021
70000	0.031
72000	0.021
74000	0.022
76000	0.022
78000	0.024
80000	0.024
82000	0.026
84000	0.027
86000	0.033
88000	0.059
90000	0.045
92000	0.039
94000	0.04
96000	0.038
98000	0.032
100000	0.041
